Gene name	Mouse gene name
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	mt-Nd1
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	mt-Nd2
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	mt-Co1
MT-TS1	
MT-TD	
MT-CO2	mt-Co2
MT-TK	
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
MT-TG	
MT-ND3	mt-Nd3
MT-TR	
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
MT-TE	
MT-CYB	mt-Cytb
MT-TT	
MT-TP	
	
U6	
5S_rRNA	
	
Y_RNA	
	
	
	Frg1
	
U2	Gm22451
	
	
RNA5-8SN5	
5_8S_rRNA	Gm54867
	
	Prodh
	Gm56421
MAFIP	Tekt4
5_8S_rRNA	
	
	Mrpl23
	Gm56420
U6	
Y_RNA	
	Dgcr6
U2	Gm22451
	
	
	
	
RNA5-8SN4	
5_8S_rRNA	
	
	
	
U1	
RPL23AP45	
	
	
U1	Gm23230
U6	
	
	Or4m1
	
U1	
	Or4n4b
	Or4n4
	
	
U6	
Y_RNA	
RNU6-409P	
ACR	
	
	
SHANK3	
	
	Slc6a8
	
	
	
	
	
	
	
	
MIR4740	
MIR3186	
	
LINC01971	
	
ACTG1	
	
HMX1	
	
BAHCC1	
	
	
	
LINC03048	
	
	
	
LINC03015	
LINC03014	
	
	
	
FAM20C	
	
	
NAA50P1	
OR8J2	
OR5T2	
OR5T3	
OR5T1	
OR8H1	
OR8I1P	
OR8K3	
FAM8A2P	
OR8K2P	
OR8K1	
RPL5P29	
OR8J1	
OR8U8	
OR8U9	
OR8L1P	
GCGR	
MCRIP1	
	
U6	
ABCD1P4	
	
PABPC1P9	
SLC9B1P4	
ACTR3BP6	
PPP1R27	
LINC01784	
PRAMEF11	
PRAMEF30P	
HNRNPCL1	
PRAMEF2	
PRAMEF4	
PRAMEF10	
PRAMEF7	
RNU6-1072P	
PRAMEF29P	
PRAMEF6	
PRAMEF28P	
PRAMEF27	
HNRNPCL3	
PRAMEF25	
PRAMEF34P	
PRAMEF35P	
HNRNPCL2	
PRAMEF36P	
	
	
PRAMEF26	
	
HNRNPCL4	
OR9G1	
PRAMEF9	
OR9G9	
	
PRAMEF13	
OR9G3P	
OR9G4	
PRAMEF18	
OR9G2P	
PRAMEF31P	
PRAMEF5	
OR5G1P	
OR5G4P	
PRAMEF32P	
RNU6-771P	
OR5G5P	
PRAMEF8	
OR5G3	
LINC02735	
PRAMEF33	
PRAMEF22	
ARHGEF19-AS1	
ARHGEF19	
	
GRK1	
ANO7L1	
	
CPLANE2	
LINC00552	
MT1XP1	
FBXO42	
SZRD1	
RPL22P3	
SPATA21	
NECAP2	
LINC01772	
CROCCP3	
RNU1-1	
	
	
LINC01783	
RNU1-6P	
PDE4DIPP8	
	
RNU1-2	
	
	
	
RNU1-5P	
	
	
EIF1AXP1	
RNU1-3	
RNU1-4	
PADI2	
	
CROCCP4	
	
	
	
	
	
	
	
	
	
	
TOLLIP	
	
	
TOLLIP-DT	
	
LINC02689	
BRSK2	
	
NBPF1	
	
DUSP8	
KRTAP5-AS1	
KRTAP5-1	
KRTAP5-2	
KRTAP5-3	
KRTAP5-4	
KRTAP5-5	
	
FAM99A	
FAM99B	
LINC02708	
MOB2	
RBMY3AP	
CDY3P	
TSPY25P	
USP9YP22	
TSPY16P	
USP9YP4	
ELOCP4	
RBMY1A3P	
	
TTTY20	
TSPY8	
FAM197Y7	
	
TSPY4	
TSPY9	
FAM197Y2	
FAM197Y4	
FAM197Y4	
FAM197Y8	
FAM197Y8	
BCL2L14	
ELOCP5	
CDY10P	
USP9YP3	
PTMAP9	
MIR1244-4	
LRP6	
USP9YP8	
CDY11P	
OFD1P16Y	
RPL21P100	
RNU6-545P	
	
RNU6-318P	
MANSC1	
RPL23AP66	
LOH12CR2	
BORCS5	
	
DUSP16	
	
	
	
PPP2R3B	
RPL14P5	
	
	
ASMTL-AS1	
IL3RA	
P2RY8	
SLC25A6	
	
ASMT	
DHRSX-IT1	
	
DHRSX	
ASMTL	
LINC02968	
LINC00106	
LINC00685	
AKAP17A	
PLCXD1	
ZBED1	
MIR6089	
LINC00102	
CD99	
	
Metazoa_SRP	
	
FABP5P13	
KRT18P53	
SHOX	
MIR3690	
RNA5SP498	
CSF2RA	
GTPBP6	
	
LINC03112	
CD99P1	
CD99P1	
CRLF2	
AMD1P2	
DPH3P2	
VAMP7	
ELOCP24	
TRPC6P1	
	
WASIR1	
DDX11L16	
WASH6P	
IL9R	
TSPY24P	
ZNF92P1Y	
